ID,Name,Age,Salary,Department,Gender,JoinDate,Country,Rating,Experience,Feedback
209,Michael Martinez,28.0,60797.23,Finance,Female,2022-02-14,UK,5.0,3.9,Unsatisfied
210,James Jones,35.0,41942.05,Sales,Female,29/05/2023,Canada,5.0,18.6,Satisfied
211,Joseph Jones,29.0,$46054.94,Marketing,Female,02/06/2018,USA,3.0,14.3,Satisfied
212,Mary Johnson,42.0,40351.54,Finance,Female,2018-05-30,Germany,5.0,9.0,Unsatisfied
213,Richard Johnson,28.0,$55855.66,Finance,Male,25/01/2023,USA,5.0,10.0,Unsatisfied
214,Jessica Miller,21.0,47364.23,Marketing,Female,31/07/2019,UK,2.0,11.6,Satisfied
215,Linda Rodriguez,39.0,26932.75,Marketing,Male,2020-09-18,Canada,3.0,10.8,Satisfied
216,Susan Brown,56.0,56633.79,Engineering,Male,2020-04-12,France,4.0,13.2,Neutral
217,Susan Miller,28.0,$37273.97,HR,Male,2021-03-11,France,4.0,7.4,Neutral
218,Elizabeth Martinez,27.0,55935.18,HR,Male,31/10/2021,Germany,4.0,13.3,Neutral
219,Patricia Johnson,61.0,63492.58,Sales,Female,2023-05-05,UK,2.0,10.1,Neutral
220,Karen Brown,50.0,55595.25,finance,Female,19/09/2016,USA,4.0,16.8,Unsatisfied
221,Linda Rodriguez,35.0,61743.28,Engineering,Male,2020-07-08,Germany,1.0,9.4,Satisfied
222,Joseph Garcia,47.0,52028.39,Finance,Male,16/06/2021,Canada,1.0,8.8,Unsatisfied
223,Elizabeth Martinez,27.0,51721.03,HR,Male,2017-11-22,None,4.0,6.5,Unsatisfied
224,John Jones,41.0,43299.94,Engineering,Female,2019-06-26,USA,3.0,6.3,Neutral
225,Mary Brown,50.0,45561.16,HR,Female,20/04/2018,UK,3.0,4.8,Neutral
226,David Garcia,38.0,34626.34,Marketing,Female,25/12/2019,Canada,4.0,4.0,Unsatisfied
227,Jennifer Johnson,30.0,46778.68,Sales,Male,21/10/2015,USA,2.0,14.7,Neutral
228,John Garcia,59.0,51156.34,Engineering,Male,21/12/2021,USA,2.0,8.3,Satisfied
229,Patricia Jones,28.0,54067.95,HR,Male,2022-10-27,Canada,1.0,14.4,Neutral
230,Jessica Rodriguez,24.0,59805.09,Marketing,Male,06/10/2023,Canada,3.0,11.8,Neutral
231,Mary Brown,52.0,58158.23,Marketing,Female,2019-01-03,France,2.0,15.3,Unsatisfied
232,Barbara Martinez,51.0,23875.05,Finance,Female,2021-05-24,USA,1.0,10.3,Neutral
233,Jennifer Williams,18.0,48887.59,HR,Male,23/07/2022,France,2.0,12.1,Unsatisfied
234,Barbara Johnson,51.0,61888.93,Marketing,Female,2016-06-02,Germany,,9.9,Satisfied
235,Mary Jones,29.0,53855.93,Engineering,Male,12/02/2018,Germany,1.0,6.0,Satisfied
236,Robert Johnson,21.0,49677.04,Engineering,Female,2023-05-13,USA,4.0,4.4,Neutral
237,Richard Johnson,48.0,41177.36,Finance,Female,12/06/2024,France,2.0,4.6,Satisfied
238,Richard Jones,24.0,50855.86,HR,Female,29/02/2024,Canada,2.0,8.4,Satisfied
239,Karen Miller,46.0,60038.55,Finance,Male,07/12/2024,Canada,3.0,9.0,Satisfied
240,Robert Johnson,57.0,53495.25,HR,Female,10/05/2021,France,5.0,5.0,Satisfied
241,Linda Jones,59.0,48217.93,Engineering,Female,2023-05-31,France,1.0,4.8,Unsatisfied
242,William Miller,65.0,47424.87,Engineering,Female,2023-06-11,UK,1.0,11.6,Unsatisfied
243,Susan Garcia,47.0,47777.23,Sales,Female,2017-05-26,Germany,1.0,10.7,Satisfied
244,James Johnson,19.0,53937.08,Marketing,Female,17/04/2015,UK,1.0,17.5,Satisfied
245,Charles Williams,48.0,63734.36,HR,Female,21/07/2015,Germany,,13.1,Neutral
246,James Garcia,65.0,58087.6,Sales,Male,2017-08-01,USA,,11.8,Neutral
247,Robert Jones,61.0,49925.4,Engineering,Female,10/12/2022,USA,2.0,8.0,Satisfied
248,James Rodriguez,44.0,24456.88,Engineering,M,05/06/2016,USA,4.0,3.6,Neutral
249,Thomas Rodriguez,28.0,47038.44,Finance,Female,23/11/2017,USA,5.0,14.8,Neutral
250,Susan Garcia,57.0,55586.48,HR,Male,25/02/2023,France,4.0,7.6,Satisfied
251,Michael Garcia,44.0,57922.56,Marketing,Male,2022-04-29,UK,4.0,-2.0,Satisfied
252,Susan Davis,30.0,49901.25,HR,Female,06/04/2025,France,3.0,4.2,Unsatisfied
253,Thomas Williams,36.0,41232.39,Engineering,Male,2017-04-28,France,2.0,10.2,Neutral
254,Joseph Johnson,24.0,65793.5,Finance,Female,08/08/2016,None,3.0,8.4,Satisfied
255,Charles Davis,45.0,59100.45,HR,Female,29/05/2020,USA,3.0,18.5,Neutral
256,John Brown,36.0,43765.19,Finance,Male,2020-04-11,UK,2.0,5.5,Neutral
257,Thomas Garcia,19.0,38345.45,Marketing,Male,2025-03-21,USA,2.0,12.8,neutral
258,Robert Garcia,45.0,61473.79,Finance,F,23/06/2023,USA,2.0,18.1,Neutral
259,Susan Williams,64.0,37202.55,HR,Male,2022-07-17,UK,3.0,14.0,Unsatisfied
260,Patricia Smith,22.0,53609.37,Finance,Male,2018-03-12,USA,3.0,11.6,Satisfied
261,Susan Rodriguez,62.0,51281.69,Marketing,Female,14/11/2022,France,2.0,15.3,Neutral
262,Barbara Garcia,26.0,57965.0,Marketing,Male,2017-03-29,Germany,3.0,11.2,Unsatisfied
263,Elizabeth Miller,25.0,66612.12,Marketing,Female,13/11/2017,Canada,3.0,13.2,Neutral
264,Linda Garcia,39.0,52329.65,Engineering,Female,15/06/2024,UK,4.0,9.0,Neutral
265,Richard Rodriguez,33.0,40045.72,Finance,Female,15/01/2018,UK,2.0,6.2,Unsatisfied
266,Robert Johnson,40.0,43818.18,HR,Female,16/08/2015,USA,5.0,9.8,Neutral
267,Linda Martinez,59.0,76509.33,Sales,Male,21/12/2024,UK,4.0,15.5,Neutral
268,Michael Garcia,30.0,67974.59,Sales,Female,17/08/2018,Germany,5.0,4.7,Unsatisfied
269,Elizabeth Smith,,53440.47,Engineering,Female,11/10/2018,Germany,3.0,2.0,Unsatisfied
270,Susan Johnson,37.0,53805.04,Marketing,Male,2019-10-27,Canada,3.0,5.0,Neutral
271,Michael Miller,57.0,49036.34,Marketing,Male,30/08/2019,Germany,2.0,9.4,Unsatisfied
272,William Davis,19.0,50578.01,Engineering,Male,2015-08-14,Canada,4.0,6.4,Satisfied
273,David Jones,23.0,49462.1,Marketing,M,13/07/2018,France,3.0,4.4,Unsatisfied
274,James Miller,23.0,46203.1,Engineering,Female,16/02/2020,UK,3.0,4.1,Satisfied
275,Michael Johnson,42.0,63204.24,Marketing,Male,24/07/2018,USA,4.0,13.7,Unsatisfied
276,Jessica Williams,41.0,34464.24,HR,Female,25/05/2022,UK,4.0,16.3,Satisfied
